accuracy,loss,val_accuracy,val_loss
0.7764285802841187,0.5603395104408264,0.8318750262260437,0.5124525427818298
0.8737499713897705,0.3403310775756836,0.8600000143051147,0.4574631452560425
0.893928587436676,0.2830740809440613,0.8675000071525574,0.44062140583992004
0.9100000262260437,0.2431831955909729,0.8618749976158142,0.49419140815734863
0.916785717010498,0.22108019888401031,0.8700000047683716,0.4749904274940491
0.9287499785423279,0.19202131032943726,0.8918750286102295,0.41763266921043396
0.9292857050895691,0.17679354548454285,0.8774999976158142,0.5437662601470947
0.9350000023841858,0.16315113008022308,0.8931249976158142,0.49347519874572754
0.9451785683631897,0.14947715401649475,0.8987500071525574,0.4978290796279907
0.9496428370475769,0.13055036962032318,0.8987500071525574,0.483447790145874
