accuracy,loss,val_accuracy,val_loss
0.6889285445213318,0.770351231098175,0.7400000095367432,0.8435248732566833
0.845714271068573,0.41521960496902466,0.7731249928474426,0.6954564452171326
0.8864285945892334,0.30323487520217896,0.8168749809265137,0.6901742815971375
0.9178571701049805,0.22662672400474548,0.8306249976158142,1.0318474769592285
0.9399999976158142,0.17072191834449768,0.8299999833106995,1.1317440271377563
0.9512500166893005,0.13625214993953705,0.8550000190734863,1.0588788986206055
0.9537500143051147,0.12321339547634125,0.8668749928474426,0.7975945472717285
0.9694643020629883,0.08636794239282608,0.8762500286102295,1.1390639543533325
0.9719642996788025,0.07362961769104004,0.8656250238418579,1.052771806716919
0.9744642972946167,0.06788230687379837,0.890625,1.1720045804977417
